contract_type_id,contract_type,customer_id,contract_type_id,paperless_billing,customer_id,churn_month,customer_id,gender,senior_citizen,partner,dependents,customer_id,payment_type_id,monthly_charges,total_charges,customer_id,signup_date,customer_id,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,internet_service_type_id,internet_service_type,payment_type_id,payment_type
1,Month-to-month,0004-TLHLJ,1,Yes,0004-TLHLJ,2022-01-31,0004-TLHLJ,Male,0,No,No,0004-TLHLJ,1,73.9,280.85,0004-TLHLJ,"2021-09-21 18:07:34",0004-TLHLJ,Yes,No,2,No,No,Yes,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0011-IGKFF,1,Yes,0011-IGKFF,2022-01-31,0011-IGKFF,Male,1,Yes,No,0011-IGKFF,1,98,1237.85,0011-IGKFF,"2020-12-21 18:07:34",0011-IGKFF,Yes,No,2,No,Yes,Yes,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0013-EXCHZ,1,Yes,0013-EXCHZ,2022-01-31,0013-EXCHZ,Female,1,Yes,No,0013-EXCHZ,2,83.9,267.4,0013-EXCHZ,"2021-10-21 18:07:34",0013-EXCHZ,Yes,No,2,No,No,No,Yes,Yes,No,2,"Fiber optic",2,"Mailed check"
2,"One year",0022-TCJCI,2,No,0022-TCJCI,2022-01-31,0022-TCJCI,Male,1,No,No,0022-TCJCI,4,62.7,2791.5,0022-TCJCI,"2018-04-21 18:07:34",0022-TCJCI,Yes,No,1,Yes,No,Yes,No,No,Yes,1,DSL,4,"Credit card (automatic)"
1,Month-to-month,0023-HGHWL,1,Yes,0023-HGHWL,2022-01-31,0023-HGHWL,Male,1,No,No,0023-HGHWL,1,25.1,25.1,0023-HGHWL,"2021-12-21 18:07:34",0023-HGHWL,No,"No phone service",1,No,No,No,No,No,No,1,DSL,1,"Electronic check"
1,Month-to-month,0023-XUOPT,1,No,0023-XUOPT,2022-01-31,0023-XUOPT,Female,0,Yes,No,0023-XUOPT,1,94.1,1215.6,0023-XUOPT,"2020-12-21 18:07:34",0023-XUOPT,Yes,Yes,2,No,Yes,Yes,No,Yes,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0031-PVLZI,1,No,0031-PVLZI,2022-01-31,0031-PVLZI,Female,0,Yes,Yes,0031-PVLZI,2,20.35,76.35,0031-PVLZI,"2021-09-21 18:07:34",0031-PVLZI,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,2,"Mailed check"
1,Month-to-month,0032-PGELS,1,No,0032-PGELS,2022-01-31,0032-PGELS,Female,0,Yes,Yes,0032-PGELS,3,30.5,30.5,0032-PGELS,"2021-12-21 18:07:34",0032-PGELS,No,"No phone service",1,Yes,No,No,No,No,No,1,DSL,3,"Bank transfer (automatic)"
1,Month-to-month,0067-DKWBL,1,Yes,0067-DKWBL,2022-01-31,0067-DKWBL,Male,1,No,No,0067-DKWBL,1,49.25,91.1,0067-DKWBL,"2021-11-21 18:07:34",0067-DKWBL,Yes,No,1,Yes,No,No,No,No,No,1,DSL,1,"Electronic check"
1,Month-to-month,0093-XWZFY,1,Yes,0093-XWZFY,2022-01-31,0093-XWZFY,Male,0,No,No,0093-XWZFY,4,104.5,4036.85,0093-XWZFY,"2018-09-21 18:07:34",0093-XWZFY,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,"Fiber optic",4,"Credit card (automatic)"
