customer_id,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,customer_id,signup_date,customer_id,contract_type_id,paperless_billing,customer_id,gender,senior_citizen,partner,dependents,customer_id,payment_type_id,monthly_charges,total_charges,customer_id,churn_month,payment_type_id,payment_type,internet_service_type_id,internet_service_type,contract_type_id,contract_type
0002-ORFBO,Yes,No,1,No,Yes,No,Yes,Yes,No,0002-ORFBO,"2021-04-21 18:07:34",0002-ORFBO,2,Yes,0002-ORFBO,Female,0,Yes,Yes,0002-ORFBO,2,65.6,593.3,NULL,NULL,2,"Mailed check",1,DSL,2,"One year"
0003-MKNFE,Yes,Yes,1,No,No,No,No,No,Yes,0003-MKNFE,"2021-04-21 18:07:34",0003-MKNFE,1,No,0003-MKNFE,Male,0,No,No,0003-MKNFE,2,59.9,542.4,NULL,NULL,2,"Mailed check",1,DSL,1,Month-to-month
0004-TLHLJ,Yes,No,2,No,No,Yes,No,No,No,0004-TLHLJ,"2021-09-21 18:07:34",0004-TLHLJ,1,Yes,0004-TLHLJ,Male,0,No,No,0004-TLHLJ,1,73.9,280.85,0004-TLHLJ,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0011-IGKFF,Yes,No,2,No,Yes,Yes,No,Yes,Yes,0011-IGKFF,"2020-12-21 18:07:34",0011-IGKFF,1,Yes,0011-IGKFF,Male,1,Yes,No,0011-IGKFF,1,98,1237.85,0011-IGKFF,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0013-EXCHZ,Yes,No,2,No,No,No,Yes,Yes,No,0013-EXCHZ,"2021-10-21 18:07:34",0013-EXCHZ,1,Yes,0013-EXCHZ,Female,1,Yes,No,0013-EXCHZ,2,83.9,267.4,0013-EXCHZ,2022-01-31,2,"Mailed check",2,"Fiber optic",1,Month-to-month
0013-MHZWF,Yes,No,1,No,No,No,Yes,Yes,Yes,0013-MHZWF,"2021-04-21 18:07:34",0013-MHZWF,1,Yes,0013-MHZWF,Female,0,No,Yes,0013-MHZWF,4,69.4,571.45,NULL,NULL,4,"Credit card (automatic)",1,DSL,1,Month-to-month
0013-SMEOE,Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes,0013-SMEOE,"2016-02-21 18:07:34",0013-SMEOE,3,Yes,0013-SMEOE,Female,1,Yes,No,0013-SMEOE,3,109.7,7904.25,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",3,"Two year"
0014-BMAQU,Yes,Yes,2,Yes,No,No,Yes,No,No,0014-BMAQU,"2016-10-21 18:07:34",0014-BMAQU,3,Yes,0014-BMAQU,Male,0,Yes,No,0014-BMAQU,4,84.65,5377.8,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",3,"Two year"
0015-UOCOJ,Yes,No,1,Yes,No,No,No,No,No,0015-UOCOJ,"2021-06-21 18:07:34",0015-UOCOJ,1,Yes,0015-UOCOJ,Female,1,No,No,0015-UOCOJ,1,48.2,340.35,NULL,NULL,1,"Electronic check",1,DSL,1,Month-to-month
0016-QLJIS,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,0016-QLJIS,"2016-08-21 18:07:34",0016-QLJIS,3,Yes,0016-QLJIS,Female,0,Yes,Yes,0016-QLJIS,2,90.45,5957.9,NULL,NULL,2,"Mailed check",1,DSL,3,"Two year"
